// random words
umbrella (for sun ie beach umbrella), sombrilla
son-in-law, yerno / hijo político >> yerno
above / on top of, sobre / encima de >> encima de
at / in (location), en
behind, detrás de / atrás de >> detrás de
below / under, <debajo de>
beside / next to, <al lado de>
between, entre
inside, dentro / adentro >> dentro
in the middle of, <en el medio de>

// TODO:  add description field or something for more complex nuances like this
ahead of (on same side), <delante de>
in front of / across from, <enfrente de>
through (from one side to another or by means of), <a través de>

upstairs / up / above, arriba
downstars, abajo
outside of, <fuera de>


// all related tricky nuances
// https://www.thoughtco.com/here-and-there-in-spanish-3079134
here, aquí
right here, acá
there (medium distance), allí
over there (farther away), allá





// items around the house
dryer (clothes), secadora
freezer, el congelador
hair dryer, el <secador de pelo>
iron (appliance), plancha
mixer (kitchen appliance), batidora
refrigerator, el refrigerador (rreh-free-heh-rah-dohr) >> refrigerador
television (medium), la televisión
television (electronic item), el televisor
vacuum cleaner, aspiradora
washing machine, lavadora

// furniture
armchair, el sillón / butaca >> sillón
bed, cama
bench / bank, banco
bookcase, el estante / librero >> estante
cushion, el cojín
desk (furniture), escritorio
dresser (furniture) / chest of drawers, cómoda
sofa, el sofá
stool, el taburete
table, mesa
bathtub, bañera
roof / ceiling, techo
cupboard, alacena
fireplace, chimenea
doorknob, pomo
front door, <puerta principal>
toilet, inodoro
wall (exterior / free standing), muro
wall (indoors), la pared
electrical outlet, el enchufe
floor (level of building), piso
floor (standing surface) / ground, suelo
blanket, manta / frazada / cobija >> manta
candle, vela
carpet, alfombra
rug, el tapete / alfombra >> tapete
curtain (window covering), cortina
faucet / tap, grifo
faucet handle, la llave
frame (photo), marco
glass (drinking), vaso
painting, cuadro / pintura >> cuadro
pillowcase, la <funda de almohada>
tablecloth, el mantel
laundry basket / wastebasket, cesto






