// start of chapter 3
// Clothing

apron, el delantal
robe, bata
boot, bota
lingerie / lingerie store, lencería
mitten, manopla
raincoat, el impermeable
scarf, bufanda
sweatshirt, sudadera
tuxedo, el esmoquin
underpants, los calzoncillos
vest, chaleco

// fabrics and material
canvas (material), lona
leather, cuero / la piel >> cuero
linen, lino
rubber (material), goma / caucho >> goma
silk, seda
velvet, terciopelo
wool, lana

// clothing parts / decorations
bow / lasso, lazo
button, el botón
pocket, bolsillo
sleeve (clothing), manga
strap / leash, correa


// tourist sites/ buildings
aquarium, acuario
castle, castillo
cathedral, la catedral
chapel, capilla
church, iglesia
mansion, la mansión
monastery, monasterio
museum, museo
temple (place of worship), templo
tower, la torre
town hall / city council, ayuntamiento

arch / bow (weapon), arco
avenue, avenida
beach, playa
bridge, el puente
cemetery, cementerio
countryside / field, campo
road / path, camino
street, la calle

// baking expressions
cooked inside the oven, <al horno>

// directions on a map
north, el norte
south, el sur
east, el este
west, el oeste
to the north, <al norte>
to the south, <al sur>
to the east, <al este>
to the west, <al oeste>
northeast, el noreste
northwest, el noroeste
southeast, el sureste
southwest, el suroeste








